CO_ID	CoName	Date	ROI
TEJN01 	Cement       	2015/01/07	   0.2529
TEJN02 	Food         	2015/01/07	  -0.3314
TEJN03 	Plastic materials	2015/01/07	  -0.8453
TEJN04 	Plastic Products	2015/01/07	   0.1259
TEJN05 	Spinning     	2015/01/07	  -0.0074
TEJN06 	Machine Tools	2015/01/07	   0.0043
TEJN07 	Motors & Appliances	2015/01/07	   0.0970
TEJN08 	Wire         	2015/01/07	   0.6586
TEJN09 	Medicine     	2015/01/07	  -0.5128
TEJN10 	Medical supplies	2015/01/07	  -0.5950
TEJN11 	Other chemical	2015/01/07	   0.3415
TEJN12 	Glass ceramic	2015/01/07	  -0.5191
TEJN13 	Papermaking  	2015/01/07	   0.0624
TEJN14 	Steel        	2015/01/07	   0.6755
TEJN15 	Rubber       	2015/01/07	  -0.9297
TEJN16 	Automobile   	2015/01/07	  -0.3249
TEJN17 	Construction 	2015/01/07	  -0.1510
TEJN18 	Ocean Air Trans.	2015/01/07	   3.7428
TEJN19 	Land transportation	2015/01/07	   0.6354
TEJN20 	Tourist catering	2015/01/07	  -0.3357
TEJN21 	Stores and Trade	2015/01/07	  -0.0810
TEJN22 	Oil Gas and Elec.	2015/01/07	   0.0394
TEJN23 	Sports & Leisure	2015/01/07	  -0.9025
TEJO99 	Other        	2015/01/07	   0.3305
TEJT01 	Personal computer	2015/01/07	   0.3310
TEJT02 	Motherboard  	2015/01/07	   0.1570
TEJT03 	PCB          	2015/01/07	   0.7137
TEJT04 	PCB materials	2015/01/07	   0.6803
TEJT05 	PC peripherals	2015/01/07	   1.0587
TEJT06 	LED          	2015/01/07	   0.4121
TEJT07 	Solar        	2015/01/07	   1.0284
TEJT08 	Panel        	2015/01/07	   2.1027
TEJT09 	Other optoelectronic	2015/01/07	   0.3281
TEJT10 	Connector    	2015/01/07	   0.3867
TEJT11 	Power Supply 	2015/01/07	  -0.4355
TEJT12 	Cabinet      	2015/01/07	   1.0504
TEJT13 	Passive Components	2015/01/07	   0.4204
TEJT14 	Other Electronic C.	2015/01/07	   0.3871
TEJT15 	Netcom       	2015/01/07	   0.5400
TEJT16 	IC Manufacturing	2015/01/07	   0.1078
TEJT17 	IC Design    	2015/01/07	   3.5088
TEJT18 	Electronic Equipment	2015/01/07	  -0.2583
TEJT19 	Telecommunications	2015/01/07	   0.0969
TEJT20 	Information channel	2015/01/07	   0.1700
TEJT21 	Consumer Electronics	2015/01/07	   0.9788
TEJT22 	Software     	2015/01/07	  -0.5774
TEJF01 	Financial Inst.	2015/01/08	   1.3207
TEJF02 	Insurance    	2015/01/08	   0.7326
TEJF03 	Security and Trust	2015/01/08	   3.1713
TEJN01 	Cement       	2015/01/08	   0.5861
TEJN02 	Food         	2015/01/08	   1.4325
TEJN03 	Plastic materials	2015/01/08	   3.3471
TEJN04 	Plastic Products	2015/01/08	   1.2634
TEJN05 	Spinning     	2015/01/08	   1.2514
TEJN06 	Machine Tools	2015/01/08	   0.4121
TEJN07 	Motors & Appliances	2015/01/08	   0.6581
TEJN08 	Wire         	2015/01/08	   0.4124
TEJN09 	Medicine     	2015/01/08	  -1.6649
TEJN10 	Medical supplies	2015/01/08	   0.7805
TEJN11 	Other chemical	2015/01/08	   0.6414
TEJN12 	Glass ceramic	2015/01/08	   2.3082
TEJN13 	Papermaking  	2015/01/08	  -0.2972
TEJN14 	Steel        	2015/01/08	   0.7653
TEJN15 	Rubber       	2015/01/08	   1.6636
TEJN16 	Automobile   	2015/01/08	   0.8000
TEJN17 	Construction 	2015/01/08	   0.3752
TEJN18 	Ocean Air Trans.	2015/01/08	   0.2395
TEJN19 	Land transportation	2015/01/08	  -0.1600
TEJN20 	Tourist catering	2015/01/08	   0.1346
TEJN21 	Stores and Trade	2015/01/08	   1.9235
TEJN22 	Oil Gas and Elec.	2015/01/08	  -0.2750
TEJN23 	Sports & Leisure	2015/01/08	   2.9066
TEJO99 	Other        	2015/01/08	   0.4111
TEJT01 	Personal computer	2015/01/08	   2.3445
TEJT02 	Motherboard  	2015/01/08	   1.4061
TEJT03 	PCB          	2015/01/08	   1.1815
TEJT04 	PCB materials	2015/01/08	   0.3045
TEJT05 	PC peripherals	2015/01/08	   1.0636
TEJT06 	LED          	2015/01/08	   0.7020
TEJT07 	Solar        	2015/01/08	   0.0168
TEJT08 	Panel        	2015/01/08	   4.0095
TEJT09 	Other optoelectronic	2015/01/08	   1.0137
TEJT10 	Connector    	2015/01/08	   0.6136
TEJT11 	Power Supply 	2015/01/08	   0.8755
TEJT12 	Cabinet      	2015/01/08	   1.6032
TEJT13 	Passive Components	2015/01/08	   0.7571
TEJT14 	Other Electronic C.	2015/01/08	   0.1653
TEJT15 	Netcom       	2015/01/08	   0.2307
TEJT16 	IC Manufacturing	2015/01/08	   2.4816
TEJT17 	IC Design    	2015/01/08	   0.2461
TEJT18 	Electronic Equipment	2015/01/08	   0.3717
TEJT19 	Telecommunications	2015/01/08	   1.7476
TEJT20 	Information channel	2015/01/08	   1.2526
TEJT21 	Consumer Electronics	2015/01/08	   2.2704
TEJT22 	Software     	2015/01/08	   0.3703
TEJF01 	Financial Inst.	2015/01/09	   0.1317
TEJF02 	Insurance    	2015/01/09	   0.0680
TEJF03 	Security and Trust	2015/01/09	  -0.0701
TEJN01 	Cement       	2015/01/09	  -0.3823
TEJN02 	Food         	2015/01/09	   0.9493
TEJN03 	Plastic materials	2015/01/09	   0.0315
TEJN04 	Plastic Products	2015/01/09	   0.2724
TEJN05 	Spinning     	2015/01/09	   0.3244
TEJN06 	Machine Tools	2015/01/09	   0.1707
