Date	Close	Open	High	Low	Volume
2015-01-05	130.1	131.03	131.03	128.23	32214
2015-01-06	124.5	128.23	128.23	124.04	67649
2015-01-07	124.97	124.5	125.9	124.5	43886
2015-01-08	128.7	127.3	128.7	126.83	42551
2015-01-09	124.97	125.9	126.37	124.04	61920
2015-01-12	123.1	123.57	124.5	123.1	30402
2015-01-13	123.57	122.17	124.04	121.71	38093
2015-01-14	121.24	123.57	124.04	121.24	49447
2015-01-15	122.64	122.64	124.04	122.64	40996
2015-01-16	127.77	130.56	130.56	126.83	129035
2015-01-19	129.63	129.17	130.1	128.23	50175
2015-01-20	128.7	129.63	129.63	128.23	33795
2015-01-21	131.5	130.1	131.5	130.1	77292
2015-01-22	130.56	131.96	132.43	130.1	45654
2015-01-23	135.23	132.9	135.23	132.9	82359
2015-01-26	135.23	135.69	135.69	133.83	46941
2015-01-27	137.09	135.69	137.09	134.76	53362
2015-01-28	136.63	136.63	137.09	135.69	48373
2015-01-29	133.83	134.3	135.23	133.36	36887
2015-01-30	131.5	135.23	135.69	131.5	44413
2015-02-02	132.9	131.03	133.36	131.03	30382
2015-02-03	134.76	133.36	134.76	132.43	27234
2015-02-04	136.16	134.76	136.63	134.3	43152
2015-02-05	135.69	135.69	136.16	133.83	25327
2015-02-06	133.36	135.69	135.69	133.36	28668
2015-02-09	132.43	133.36	133.83	131.96	26650
2015-02-10	132.9	132.43	133.36	131.96	33452
2015-02-11	138.03	136.16	138.96	136.16	71429
2015-02-12	138.49	139.42	139.42	137.56	35027
2015-02-13	138.49	138.49	139.89	138.03	38571
2015-02-24	140.82	138.96	141.76	138.49	74443
2015-02-25	144.09	142.22	144.09	142.22	48326
2015-02-26	140.36	143.16	143.62	140.36	58406
2015-03-02	138.96	141.29	142.69	138.49	41706
2015-03-03	140.36	139.89	140.82	138.49	29205
2015-03-04	140.36	139.89	141.29	138.96	32781
2015-03-05	139.89	139.89	140.82	138.49	29851
2015-03-06	138.96	138.96	139.42	138.49	33211
2015-03-09	135.69	137.56	137.56	135.23	67545
2015-03-10	134.3	135.23	135.23	134.3	46859
2015-03-11	136.16	133.83	138.03	133.36	51828
2015-03-12	138.03	137.09	138.49	136.63	32364
2015-03-13	138.96	138.03	139.42	137.09	46407
2015-03-16	136.16	138.96	139.42	136.16	37462
2015-03-17	138.96	138.49	139.89	138.49	55770
2015-03-18	143.16	140.82	143.62	139.89	71220
2015-03-19	143.62	142.22	144.55	142.22	43512
2015-03-20	143.62	141.29	143.62	141.29	38594
2015-03-23	143.16	143.62	143.62	142.22	26369
2015-03-24	141.29	143.16	143.16	141.29	38207
2015-03-25	140.82	141.76	142.22	140.36	50140
2015-03-26	135.69	135.69	137.09	134.76	162835
2015-03-27	132.9	134.3	135.69	132.9	112919
2015-03-30	132.9	132.9	134.3	132.43	64898
2015-03-31	135.69	134.3	135.69	133.36	56918
2015-04-01	134.3	135.23	135.23	133.83	39056
2015-04-02	137.09	135.23	138.03	134.76	52174
2015-04-07	136.16	136.63	137.56	135.23	34901
2015-04-08	133.36	135.69	136.16	133.36	49474
2015-04-09	133.36	134.3	135.69	133.36	47243
2015-04-10	137.09	136.16	137.09	135.23	33908
2015-04-13	137.09	136.63	137.56	136.16	26427
2015-04-14	134.3	135.23	135.69	133.83	41702
2015-04-15	133.36	133.83	134.76	131.96	71626
2015-04-16	137.09	135.23	137.09	134.76	55563
2015-04-17	132.9	133.36	134.3	132.9	79007
2015-04-20	133.36	132.43	134.3	131.96	43593
2015-04-21	132.9	132.43	133.83	131.96	40892
2015-04-22	133.83	133.83	135.23	133.36	40631
2015-04-23	137.09	135.69	137.09	135.23	47851
2015-04-24	142.22	138.96	142.22	138.49	135458
2015-04-27	141.29	142.69	142.69	139.89	58112
2015-04-28	141.29	143.16	143.16	140.36	43295
