Date	Close	Open	High	Low	Volume
2015-01-05	416.38	414.58	420.89	414.58	2482
2015-01-06	412.78	414.58	416.38	412.78	5925
2015-01-07	438.46	421.79	438.91	420.44	13142
2015-01-08	437.11	443.87	445.67	436.66	8682
2015-01-09	439.81	443.42	446.12	439.81	7745
2015-01-12	439.81	441.62	445.67	438.46	4586
2015-01-13	435.31	437.11	439.81	433.51	4420
2015-01-14	439.81	440.26	443.42	436.66	7120
2015-01-15	438.01	439.81	441.62	435.76	4228
2015-01-16	428.55	435.76	437.56	427.65	5550
2015-01-19	438.91	434.86	440.72	432.15	5055
2015-01-20	441.62	439.81	441.62	436.21	3824
2015-01-21	444.77	444.32	446.12	443.87	5342
2015-01-22	446.57	447.02	448.83	442.97	5462
2015-01-23	445.67	449.28	450.63	442.97	5250
2015-01-26	454.23	445.22	455.14	445.22	6909
2015-01-27	452.43	454.23	454.23	449.28	5026
2015-01-28	452.43	452.43	454.23	449.28	2763
2015-01-29	448.38	447.93	450.18	444.32	3143
2015-01-30	435.31	448.38	448.83	435.31	7517
2015-02-02	434.86	440.72	440.72	432.6	3747
2015-02-03	437.11	434.86	440.72	433.05	3275
2015-02-04	437.11	443.42	444.77	436.21	4598
2015-02-05	437.11	440.26	442.97	435.76	4330
2015-02-06	431.7	438.91	440.26	429.0	4600
2015-02-09	439.81	437.56	441.62	433.05	5251
2015-02-10	409.17	409.17	409.17	409.17	10301
2015-02-11	409.17	392.05	410.07	391.15	33943
2015-02-12	412.78	410.97	413.23	408.72	8420
2015-02-13	413.68	412.78	414.58	410.97	6058
2015-02-24	423.59	421.79	426.3	416.38	16722
2015-02-25	426.75	426.3	429.0	424.04	5802
2015-02-26	426.3	429.0	429.0	424.04	7115
2015-03-02	429.9	429.0	429.9	427.2	5540
2015-03-03	431.25	431.7	432.6	426.3	3859
2015-03-04	428.55	430.8	432.6	428.1	4154
2015-03-05	428.55	430.8	430.8	427.65	5255
2015-03-06	424.04	424.04	426.3	420.89	8090
2015-03-09	414.58	419.08	420.89	413.68	8322
2015-03-10	414.58	410.97	416.83	410.97	7335
2015-03-11	408.72	410.07	412.33	408.72	6216
2015-03-12	408.72	405.12	413.23	404.66	6251
2015-03-13	403.76	412.78	412.78	403.76	6118
2015-03-16	389.34	400.61	401.96	389.34	13745
2015-03-17	387.54	387.54	392.05	383.94	13175
2015-03-18	392.5	390.24	397.91	389.34	9847
2015-03-19	391.15	394.75	397.0	391.15	6417
2015-03-20	392.95	387.54	398.36	387.54	10080
2015-03-23	395.2	395.2	397.45	392.5	7076
2015-03-24	401.96	397.45	406.47	395.65	11759
