Security Name,CoName,YY/MM/DD,Market Risk Premium,Size Factor (3 Factor),Book to Market Factor,Risk-free Interest Rate
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/01,   0.3652,  -0.0134,  -0.1565, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/02,   0.4841,   0.2471,  -0.5999, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/03,  -0.1643,   0.3386,   0.2747, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/07,  -0.1401,   0.0308,   0.3478, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/08,   0.1404,   0.0273,  -0.1717, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/09,   0.4850,   0.1913,   0.2341, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/10,   0.0476,  -0.2306,  -0.1361, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/11,  -0.5739,  -0.3801,  -0.2503, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/14,  -0.7461,  -0.8124,  -0.4830, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/15,   0.8754,   0.2116,  -0.5118, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/16,   0.1201,   0.0162,   0.7766, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/17,   0.2782,   0.0674,   0.2683, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/18,   0.3011,  -0.3830,  -0.1437, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/21,  -0.0508,   0.1491,   0.3250, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/22,   0.2846,  -0.0683,   0.2115, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/23,  -0.1371,  -0.4427,  -0.0730, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/24,  -0.1249,  -0.5839,  -0.8013, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/25,  -2.0716,  -0.9693,  -1.3189, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/28,   0.5372,  -0.7670,  -0.3245, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/29,   0.8161,   0.7039,  -0.0083, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/04/30,  -0.9865,  -0.2058,  -0.2388, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/02,   0.9525,  -0.0448,   0.2445, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/05,   0.2262,   0.4603,   0.0848, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/06,   0.3555,  -0.0652,   0.1908, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/07,  -0.1463,   0.4305,  -0.0369, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/08,   0.2923,  -0.0054,   0.4127, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/09,  -0.5506,  -0.0703,  -0.2100, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/12,  -1.0104,  -0.3621,   0.6384, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/13,   0.0752,  -0.8663,  -0.4799, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/14,   0.6172,  -0.7038,  -0.1629, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/15,   0.0254,   0.1165,   0.3404, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/16,   0.0403,   0.0073,  -0.1561, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/19,   0.1564,   0.3838,   0.5068, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/20,  -0.0627,   0.2785,  -0.0042, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/21,  -0.2427,   0.3725,  -0.4502, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/22,   1.2698,   0.1396,  -0.2276, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/23,   0.4674,   0.4729,  -0.1792, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/26,   0.3897,   0.6252,  -0.3962, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/27,   0.2820,   0.0671,  -0.5085, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/28,   0.6733,  -0.1629,   0.0571, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/29,  -0.0958,   0.1281,   0.4061, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/05/30,  -0.3306,   0.4379,   0.6076, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/03,   0.5445,  -0.3278,  -0.5108, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/04,   0.1207,   0.3862,   0.2460, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/05,   0.3371,   0.3454,  -0.1026, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/06,  -0.1483,   0.0214,   0.8076, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/09,   0.2931,   0.1130,   0.5071, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/10,   0.5002,  -0.3455,  -0.8643, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/11,   0.1386,  -0.2062,   0.6646, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/12,  -0.3119,  -0.0100,   0.9833, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/13,  -0.0564,   0.5054,  -0.1466, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/16,   0.1254,   0.1643,  -0.1621, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/17,   0.4233,   0.0187,  -0.3013, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/18,   0.2967,  -0.6319,   0.0934, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/19,   0.4647,  -0.1190,   0.3903, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/20,  -0.4362,   0.7811,  -0.3813, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/23,  -0.6431,  -0.9550,  -1.1781, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/24,   0.2108,   0.1389,   0.4172, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/25,  -0.0204,   0.6298,  -0.1710, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/26,   0.9283,  -0.1516,   0.2138, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/27,  -0.0714,   0.5565,  -0.2704, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/06/30,   1.0451,  -0.5343,   0.3367, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/01,   0.7219,  -0.3086,   0.3912, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/02,   0.3867,  -1.0886,  -0.3159, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/03,   0.7759,   0.0464,   0.0318, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/04,  -0.0737,   0.1603,   0.4997, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/07,   0.0896,  -0.3503,   0.3364, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/08,   0.0133,   0.1420,   0.1791, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/09,  -0.4744,   0.3580,  -0.2593, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/10,   0.7100,  -0.6002,   0.0540, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/11,  -0.9196,  -1.1084,  -0.4572, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/14,   0.4346,  -0.3402,   0.6813, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/15,   0.3559,   0.1460,   0.0031, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/16,  -0.7813,   0.3919,   0.5813, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/17,  -0.7334,   0.7613,   0.8475, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/18,  -0.1132,   0.0184,  -0.1837, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/21,   0.4719,  -0.0101,  -0.3414, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/22,   0.6854,  -0.3260,   0.1942, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/24,   0.3296,   0.0911,   0.2316, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/25,  -1.0772,   0.6179,   0.4124, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/28,  -0.4846,  -0.2444,   0.5323, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/29,  -0.2389,  -0.8030,  -0.8244, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/30,   0.5812,  -0.3397,   0.6238, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/07/31,  -1.1948,   1.2137,   0.2813, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/01,  -0.3462,   0.2528,   0.0538, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/04,   0.8690,  -0.2947,   0.1816, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/05,  -1.8072,   1.3537,   0.2557, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/06,  -0.3160,  -1.1595,  -0.5457, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/07,  -0.3396,  -0.0833,   0.3186, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/08,  -0.5134,  -0.3080,  -0.2814, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/11,   1.1118,  -0.1643,   0.3678, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/12,  -0.0810,  -0.2965,   0.0087, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/13,   0.7805,  -0.6051,   0.5076, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/14,  -0.0097,  -0.5830,   0.1796, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/15,  -0.2734,  -0.6292,   0.2430, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/18,  -0.8447,  -1.5535,   0.5276, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/19,   1.1816,  -0.2987,  -0.2287, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/20,   0.1662,  -0.4104,   0.0019, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/21,  -0.4570,  -0.1380,  -0.2702, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/22,   1.3801,   0.0104,  -0.0688, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/25,   0.2673,   0.2647,   0.2874, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/26,   0.1860,   0.6320,  -0.0798, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/27,   0.9638,  -0.7207,   0.4147, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/28,   0.0932,  -0.0968,   0.1216, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/08/29,  -0.2512,   0.8717,   0.3478, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/01,   0.8378,  -0.0120,  -0.6631, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/02,  -1.1771,   0.6851,   0.1116, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/03,   0.3643,  -0.3877,  -0.2585, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/04,  -0.2592,   0.1758,   0.2354, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/05,  -0.1685,   0.3591,   0.1042, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/09,   0.1692,  -0.0015,   0.1629, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/10,  -0.7569,   0.4801,   0.2891, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/11,  -0.4580,  -0.0236,   0.2716, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/12,  -1.1534,   0.2322,  -0.1317, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/15,  -0.0205,  -0.2651,  -0.3315, 1.355
Z8888  ,TSEC+GreTai Non-Banking index,2014/09/16,  -0.8872,   0.5217,  -0.3541, 1.355
