YY/MM/DD	Market Risk Premium	Size Factor (3 Factor)	Book to Market Factor	Risk-free Interest Rate
2015-06-29	-1.9738	0.3009	-0.3785	1.355
2015-06-30	1.1475	-0.3261	-0.2227	1.355
2015-07-01	0.6556	0.3011	-0.1615	1.355
2015-07-02	0.1019	0.54	-0.4617	1.355
2015-07-03	-0.1773	0.1524	-0.3143	1.355
2015-07-06	-1.0754	0.0943	0.0151	1.355
2015-07-07	-0.0173	0.1517	0.1081	1.355
2015-07-08	-2.9507	0.1626	0.0863	1.355
2015-07-09	-0.5461	-0.2737	0.4571	1.355
2015-07-13	1.3963	-0.0033	0.2663	1.355
2015-07-14	0.1954	-0.41200000000000003	0.0758	1.355
2015-07-15	0.3761	-0.4033	-0.317	1.355
2015-07-16	0.1147	0.2006	-0.0243	1.355
2015-07-17	0.0501	-0.0772	-0.4905	1.355
2015-07-20	-0.7532	-0.0638	-0.0618	1.355
2015-07-21	0.3847	-1.1064	-0.1625	1.355
2015-07-22	-0.9276	0.0015	0.3438	1.355
2015-07-23	-1.2896	0.1042	0.7149	1.355
2015-07-24	-0.198	-0.833	0.4456	1.355
2015-07-27	-2.4083	-2.0237	0.3811	1.355
2015-07-28	0.3704	0.3711	-0.4978	1.355
2015-07-29	-0.1236	0.3806	-0.755	1.355
2015-07-30	1.1077	-0.0602	0.2774	1.355
2015-07-31	0.1972	-0.4122	-0.7703	1.355
2015-08-03	-1.6175	-0.2295	1.1345	1.355
2015-08-04	-0.0659	-2.0726	0.4962	1.355
2015-08-05	0.3742	1.2526	0.061	1.355
2015-08-06	-0.9314	0.5638	-0.4691	1.355
2015-08-07	-0.0899	0.7737	-0.1372	1.355
2015-08-10	0.4187	1.3497	0.0368	1.355
2015-08-11	-0.8022	-0.002	-0.345	1.355
2015-08-12	-1.3037	0.9689	0.0235	1.355
2015-08-13	0.5107	-0.0622	0.0203	1.355
2015-08-14	-0.0739	0.0457	0.6378	1.355
2015-08-17	-1.0744	0.1395	0.3395	1.355
2015-08-18	-0.433	0.0003	-0.5905	1.355
2015-08-19	-1.91	-0.7065	-0.8848	1.355
2015-08-20	0.1323	0.7311	-0.5491	1.355
2015-08-21	-3.0238	-0.4039	-0.1626	1.355
2015-08-24	-4.8105	-2.1491	-0.723	1.355
2015-08-25	3.6277	-2.7262	-0.0141	1.355
2015-08-26	0.5315	0.8432	1.1001	1.355
2015-08-27	1.4949	0.7543	0.2063	1.355
2015-08-28	2.4979	-0.256	0.5484	1.355
2015-08-31	1.9569999999999999	-0.9987	-0.0646	1.355
2015-09-01	-1.8924	2.323	0.7225	1.355
2015-09-02	0.2444	0.5463	-0.4305	1.355
2015-09-03	1.0098	0.3147	0.207	1.355
2015-09-04	-1.188	0.5773	0.1015	1.355
2015-09-07	-0.1731	0.3895	0.3087	1.355
2015-09-08	0.1902	0.5209	-0.145	1.355
2015-09-09	3.5678	-1.5483	-0.8232	1.355
2015-09-10	-0.2257	0.85	0.6458	1.355
2015-09-11	0.4372	0.3974	-0.5699	1.355
2015-09-14	0.0163	0.2258	-0.4627	1.355
2015-09-15	-0.5699	0.1736	0.3547	1.355
2015-09-16	0.878	0.0455	-0.6246	1.355
2015-09-17	1.3396	-0.3464	-0.0774	1.355
2015-09-18	0.1883	0.9633	-0.3814	1.355
2015-09-21	-1.8178	0.6056	0.035	1.355
2015-09-22	0.7092	0.3042	-0.0554	1.355
2015-09-23	-2.0542	0.8023	0.7945	1.355
2015-09-24	-0.8611	-0.4091	0.0414	1.355
2015-09-25	0.1029	0.4698	-0.2339	1.275
2015-09-30	0.5923	-0.08800000000000001	-0.7779	1.355
2015-10-01	1.4011	0.0459	-0.4903	1.275
2015-10-02	0.1146	0.2498	0.1425	1.275
2015-10-05	0.5748	0.5798	0.0175	1.275
2015-10-06	0.4893	-0.5659	0.23	1.275
2015-10-07	1.2038	-0.2333	-0.3072	1.275
2015-10-08	-0.5804	-0.2678	0.3072	1.275
2015-10-12	1.5132	-1.0575	0.244	1.275
2015-10-13	-0.0723	0.6623	0.6437	1.275
2015-10-14	-0.532	0.9244	0.2407	1.275
2015-10-15	0.9296	-0.4565	-0.4463	1.275
2015-10-16	0.0356	0.2709	0.171	1.275
2015-10-19	0.3058	0.4103	0.1208	1.275
2015-10-20	0.2549	0.8016	-0.5003	1.275
2015-10-21	-0.5308	0.9735	-0.3833	1.275
2015-10-22	0.0006	0.1761	0.0579	1.275
2015-10-23	0.7599	-0.4906	-0.5464	1.275
2015-10-26	0.8216	-0.2015	0.1795	1.275
2015-10-27	-0.5014	0.3612	0.3354	1.275
2015-10-28	-0.4307	0.5847	-0.4293	1.275
2015-10-29	-1.0961	0.5218	-0.0524	1.275
2015-10-30	-0.1918	0.2089	-0.2672	1.275
2015-11-02	0.6927	-0.0875	0.09	1.275
2015-11-03	1.1388	-0.4299	-0.359	1.275
2015-11-04	1.6461	-0.5884	-0.3772	1.275
2015-11-05	-0.0889	0.4343	0.3028	1.275
2015-11-06	-1.7773	1.0795	-0.0652	1.275
2015-11-09	-0.5807	-0.7502	-0.3442	1.275
2015-11-10	-1.2417	0.9692	0.0761	1.275
2015-11-11	-1.4292	-0.3731	0.4051	1.275
2015-11-12	0.1489	-0.2562	-0.2814	1.275
2015-11-13	-1.1872	0.609	-0.0061	1.275
2015-11-16	-0.4133	0.3063	-0.7859	1.275
2015-11-17	1.4846	-0.1465	-0.1837	1.275
2015-11-18	-0.9414	1.0451	-0.6711	1.275
2015-11-19	1.6085	-0.3999	-0.4757	1.275
2015-11-20	-0.1551	0.7866	-0.4346	1.275
2015-11-23	0.2364	0.0276	0.3001	1.275
2015-11-24	-1.0090000000000001	0.2176	-0.1747	1.275
2015-11-25	-0.1695	-0.3097	-0.7108	1.275
2015-11-26	1.1851	-0.5098	-0.0114	1.275
2015-11-27	-1.0190000000000001	0.6012	0.1206	1.275
2015-11-30	-0.9309	0.0757	-0.1411	1.275
2015-12-01	1.7011	-0.474	-0.2459	1.275
2015-12-02	-0.0714	0.45899999999999996	0.2014	1.275
2015-12-03	-0.0092	0.171	-0.1879	1.275
2015-12-04	-0.6826	1.016	0.1418	1.275
2015-12-07	0.6616	-0.1296	-0.4885	1.275
2015-12-08	-1.3188	0.6722	-0.1487	1.275
2015-12-09	-1.3518	-1.0429	0.7	1.275
2015-12-10	-0.1816	0.5942	-0.5673	1.275
2015-12-11	-1.2002	-1.0189	1.1193	1.275
2015-12-14	-0.9346	-0.0922	0.0517	1.275
2015-12-15	0.4346	0.649	0.1296	1.275
2015-12-16	1.3984	-0.579	0.0618	1.275
2015-12-17	1.631	-0.5041	-0.4204	1.275
2015-12-18	-0.7432	0.7979999999999999	0.0342	1.275
2015-12-21	0.3041	0.0739	0.9402	1.275
2015-12-22	0.1235	-0.3155	-0.1177	1.275
2015-12-23	0.2831	-0.4578	0.5937	1.275
2015-12-24	0.102	-0.4684	0.3447	1.275
2015-12-25	0.4627	0.3282	0.0463	1.275
2015-12-28	-0.0521	-0.1234	0.1195	1.275
2015-12-29	-0.778	0.5334	0.0301	1.275
2015-12-30	-0.1682	0.442	0.0139	1.275
2015-12-31	0.7032	-0.061	-0.16899999999999998	1.275
2016-01-04	-2.6689	1.5372	0.0132	1.275
2016-01-05	-0.4869	0.0689	0.0693	1.275
2016-01-06	-1.04	-0.1829	0.4325	1.275
