Date,Date,Close,Open,High,Low,Volume,ROI
2013-01-02,2013-01-02,37.69,35.69,37.74,35.44,8971,6.638999999999999
2013-01-03,2013-01-03,37.64,38.04,38.33,37.55,6193,-0.1297
2013-01-04,2013-01-04,37.5,37.64,37.69,37.2,4047,-0.3896
2013-01-07,2013-01-07,38.72,37.74,39.11,37.69,7834,3.2595
2013-01-08,2013-01-08,38.28,38.72,39.11,37.89,3735,-1.1364
2013-01-09,2013-01-09,38.62,38.18,38.82,37.94,4072,0.894
2013-01-10,2013-01-10,38.62,38.82,39.21,38.43,4976,0.0
2013-01-11,2013-01-11,39.84,39.11,40.48,38.92,10200,3.1646
2013-01-14,2013-01-14,40.58,39.84,40.97,39.5,6114,1.8405
2013-01-15,2013-01-15,40.63,40.63,40.87,40.09,4358,0.1205
2013-01-16,2013-01-16,40.92,40.82,41.07,40.48,4469,0.722
2013-01-17,2013-01-17,40.58,41.16,41.65,40.04,7943,-0.8363
2013-01-18,2013-01-18,40.38,40.87,41.07,39.94,4741,-0.4819
2013-01-21,2013-01-21,40.58,40.38,40.68,40.09,2432,0.4843
2013-01-22,2013-01-22,39.8,40.58,40.58,39.65,3242,-1.9277
2013-01-23,2013-01-23,40.09,39.89,40.24,39.75,2483,0.7371
2013-01-24,2013-01-24,40.38,40.09,40.92,39.55,3850,0.7317
2013-01-25,2013-01-25,40.09,40.58,40.68,39.89,2921,-0.7264
2013-01-28,2013-01-28,40.48,40.19,40.53,39.89,2308,0.9756
2013-01-29,2013-01-29,40.63,40.58,40.68,40.14,2706,0.3623
2013-01-30,2013-01-30,40.48,40.68,40.72,40.38,1884,-0.361
2013-01-31,2013-01-31,40.14,40.48,40.48,40.04,2274,-0.8454
2013-02-01,2013-02-01,41.51,40.14,41.65,40.09,6020,3.4105
2013-02-04,2013-02-04,42.04,41.65,42.24,41.31,5445,1.2956
2013-02-05,2013-02-05,42.04,41.65,42.24,41.65,2186,0.0
2013-02-06,2013-02-06,42.97,42.04,44.29,42.04,8617,2.2093
2013-02-18,2013-02-18,43.12,43.51,43.51,42.97,2015,0.3413
2013-02-19,2013-02-19,42.19,43.12,43.12,42.04,3014,-2.1542
2013-02-20,2013-02-20,42.34,42.34,42.83,42.24,2525,0.3476
2013-02-21,2013-02-21,41.07,40.19,41.85,40.19,4330,-3.0023
2013-02-22,2013-02-22,41.56,41.07,41.75,41.07,2817,1.1905
2013-02-23,2013-02-23,42.63,41.85,43.12,41.85,4541,2.5882
2013-02-25,2013-02-25,42.83,42.48,43.22,42.48,2526,0.4587
2013-02-26,2013-02-26,42.44,42.53,42.73,42.34,842,-0.9132
2013-02-27,2013-02-27,43.02,42.53,43.22,42.24,1740,1.3825
2013-03-01,2013-03-01,44.98,43.27,45.08,43.07,6902,4.5455
2013-03-04,2013-03-04,44.15,44.88,44.88,43.8,2862,-1.8478
2013-03-05,2013-03-05,44.64,44.15,44.98,44.05,2043,1.1074
2013-03-06,2013-03-06,44.68,44.68,45.32,44.24,2585,0.1095
2013-03-07,2013-03-07,44.68,44.73,45.27,44.54,1500,0.0
2013-03-08,2013-03-08,44.29,44.73,44.93,43.9,2509,-0.8753
2013-03-11,2013-03-11,44.39,44.29,44.64,43.9,1535,0.2208
2013-03-12,2013-03-12,44.44,44.49,44.78,44.2,1815,0.1101
2013-03-13,2013-03-13,44.15,44.49,44.59,43.56,2170,-0.6601
2013-03-14,2013-03-14,43.51,44.15,44.15,43.27,2685,-1.4396
2013-03-15,2013-03-15,43.85,43.51,44.88,43.36,2465,0.7865
2013-03-18,2013-03-18,43.22,43.9,44.2,42.83,1575,-1.4493
2013-03-19,2013-03-19,42.83,43.41,43.51,42.53,2133,-0.905
2013-03-20,2013-03-20,42.83,42.53,43.36,42.53,968,0.0
2013-03-21,2013-03-21,43.22,43.27,43.51,42.78,1356,0.9132
2013-03-22,2013-03-22,42.63,43.22,43.36,42.24,2296,-1.3575
2013-03-25,2013-03-25,43.02,42.73,43.27,42.24,1426,0.9174
2013-03-26,2013-03-26,43.51,43.02,43.71,43.02,1386,1.1364
2013-03-27,2013-03-27,43.56,43.8,43.8,43.22,1194,0.1124
2013-03-28,2013-03-28,44.0,43.56,44.29,43.41,2011,1.0101
2013-03-29,2013-03-29,43.8,43.85,44.0,43.51,2123,-0.4444
2013-04-01,2013-04-01,42.97,43.76,43.76,42.83,2437,-1.8973
2013-04-02,2013-04-02,42.68,42.83,43.12,42.34,2096,-0.6826
2013-04-03,2013-04-03,42.63,42.73,42.97,42.44,1367,-0.1145
2013-04-08,2013-04-08,41.65,42.14,42.24,41.56,2210,-2.2936
2013-04-09,2013-04-09,41.07,41.65,41.75,40.77,3497,-1.4085
2013-04-10,2013-04-10,40.72,41.07,41.07,40.48,1560,-0.8333
2013-04-11,2013-04-11,42.04,40.97,42.04,40.87,2523,3.2413
2013-04-12,2013-04-12,41.07,42.14,42.39,40.87,1640,-2.3256
2013-04-15,2013-04-15,42.04,41.16,42.34,40.97,1636,2.381
2013-04-16,2013-04-16,41.51,41.36,41.75,41.26,1059,-1.2791
2013-04-17,2013-04-17,42.04,42.04,42.63,41.65,2809,1.2956
2013-04-18,2013-04-18,43.9,42.04,44.1,41.9,3962,4.4186
2013-04-19,2013-04-19,44.64,44.2,45.03,43.56,5952,1.6704
2013-04-22,2013-04-22,44.05,44.88,45.03,44.0,1505,-1.3143
2013-04-23,2013-04-23,44.0,44.49,44.49,43.61,941,-0.111
2013-04-24,2013-04-24,44.15,44.05,44.49,44.0,1227,0.3333
2013-04-25,2013-04-25,44.83,44.29,45.66,44.29,4025,1.5504
2013-04-26,2013-04-26,44.44,44.93,45.03,44.24,2982,-0.8724
2013-04-29,2013-04-29,44.49,44.29,44.73,44.29,1208,0.11
2013-04-30,2013-04-30,44.98,44.68,45.66,44.68,3596,1.0989
2013-05-02,2013-05-02,45.56,45.17,45.56,44.98,2797,1.3043
2013-05-03,2013-05-03,45.86,45.86,46.25,45.66,2571,0.6438
2013-05-06,2013-05-06,45.27,46.15,46.25,45.03,1783,-1.2793
2013-05-07,2013-05-07,45.27,45.71,45.71,44.88,1437,0.0
2013-05-08,2013-05-08,46.2,45.56,46.2,45.22,2210,2.0518
2013-05-09,2013-05-09,45.91,46.44,46.44,45.86,1439,-0.6349
2013-05-10,2013-05-10,45.96,45.96,45.96,45.81,1035,0.1065
2013-05-13,2013-05-13,45.96,45.96,46.0,45.08,995,0.0
2013-05-14,2013-05-14,45.96,45.96,46.05,45.47,853,0.0
2013-05-15,2013-05-15,45.22,45.96,45.96,44.88,2028,-1.5957
2013-05-16,2013-05-16,45.86,45.86,46.15,45.17,2053,1.4054
2013-05-17,2013-05-17,46.93,45.86,47.28,45.76,3275,2.3454
2013-05-20,2013-05-20,47.13,46.93,47.13,46.64,1444,0.4167
