Date,Date,Close,Open,High,Low,Volume,ROI
2016-01-04,2016-01-04,5.37,5.55,5.58,5.37,3802,-3.7634
2016-01-05,2016-01-05,5.33,5.37,5.43,5.31,2700,-0.7449
2016-01-06,2016-01-06,5.31,5.33,5.4,5.3,4703,-0.3752
2016-01-07,2016-01-07,5.2,5.31,5.35,5.13,5395,-2.0716
2016-01-08,2016-01-08,5.27,5.2,5.28,5.16,6895,1.3462
2016-01-11,2016-01-11,5.15,5.22,5.22,5.06,4441,-2.2769999999999997
2016-01-12,2016-01-12,5.1,5.13,5.18,5.06,4588,-0.9709
2016-01-13,2016-01-13,5.1,5.15,5.15,5.04,4269,0.0
2016-01-14,2016-01-14,5.08,5.03,5.08,4.98,6622,-0.3922
2016-01-15,2016-01-15,5.01,5.11,5.13,5.0,5399,-1.3780000000000001
2016-01-18,2016-01-18,5.04,4.85,5.1,4.85,4745,0.5988
2016-01-19,2016-01-19,5.14,5.09,5.16,5.05,3131,1.9841
2016-01-20,2016-01-20,5.04,5.14,5.16,5.02,3899,-1.9455
2016-01-21,2016-01-21,5.01,5.01,5.09,4.99,3340,-0.5952
2016-01-22,2016-01-22,5.01,5.07,5.07,5.01,3402,0.0
2016-01-25,2016-01-25,5.13,5.05,5.21,5.03,19209,2.3952
2016-01-26,2016-01-26,5.07,5.1,5.13,5.07,2849,-1.1696
2016-01-27,2016-01-27,5.07,5.07,5.12,5.05,2948,0.0
2016-01-28,2016-01-28,5.1,5.1,5.18,5.07,3691,0.5917
2016-01-29,2016-01-29,5.18,5.16,5.19,5.11,4583,1.5686
2016-01-30,2016-01-30,5.19,5.21,5.22,5.18,3197,0.1931
2016-02-01,2016-02-01,5.13,5.2,5.2,5.12,2922,-1.1561
2016-02-02,2016-02-02,5.12,5.18,5.18,5.11,4035,-0.1949
2016-02-03,2016-02-03,5.07,5.1,5.11,5.06,3942,-0.9766
2016-02-15,2016-02-15,5.06,5.05,5.09,5.02,1939,-0.1972
2016-02-16,2016-02-16,5.25,5.07,5.31,5.07,12053,3.7549
2016-02-17,2016-02-17,5.15,5.22,5.24,5.14,3691,-1.9048
2016-02-18,2016-02-18,5.16,5.2,5.23,5.16,4112,0.1942
2016-02-19,2016-02-19,5.16,5.19,5.2,5.15,2825,0.0
2016-02-22,2016-02-22,5.19,5.17,5.22,5.15,2529,0.5814
2016-02-23,2016-02-23,5.26,5.2,5.35,5.17,8838,1.3487
2016-02-24,2016-02-24,5.29,5.25,5.39,5.24,5645,0.5703
2016-02-25,2016-02-25,5.27,5.29,5.32,5.25,4363,-0.3781
2016-02-26,2016-02-26,5.27,5.3,5.3,5.25,1961,0.0
2016-03-01,2016-03-01,5.28,5.27,5.33,5.27,3266,0.1898
2016-03-02,2016-03-02,5.37,5.33,5.42,5.33,6343,1.7045
2016-03-03,2016-03-03,5.42,5.41,5.5,5.38,7494,0.9311
2016-03-04,2016-03-04,5.57,5.46,5.62,5.46,9277,2.7675
2016-03-07,2016-03-07,5.78,5.68,5.81,5.59,12893,3.7702
2016-03-08,2016-03-08,5.74,5.8,5.81,5.62,7899,-0.6920000000000001
2016-03-09,2016-03-09,5.61,5.71,5.71,5.59,5086,-2.2648
2016-03-10,2016-03-10,5.69,5.63,5.79,5.6,9649,1.426
2016-03-11,2016-03-11,5.63,5.7,5.72,5.54,9611,-1.0545
2016-03-14,2016-03-14,5.63,5.66,5.67,5.58,5557,0.0
2016-03-15,2016-03-15,5.42,5.66,5.66,5.39,6894,-3.73
2016-03-16,2016-03-16,5.46,5.45,5.53,5.44,5586,0.738
2016-03-17,2016-03-17,5.5,5.53,5.62,5.46,7362,0.7326
2016-03-18,2016-03-18,5.52,5.58,5.59,5.5,4573,0.3636
2016-03-21,2016-03-21,5.53,5.55,5.55,5.47,3244,0.1812
2016-03-22,2016-03-22,5.6,5.59,5.66,5.54,7624,1.2658
2016-03-23,2016-03-23,5.61,5.65,5.69,5.59,7425,0.1786
2016-03-24,2016-03-24,5.53,5.62,5.62,5.53,3945,-1.426
2016-03-25,2016-03-25,5.5,5.55,5.56,5.47,6535,-0.5425
2016-03-28,2016-03-28,5.37,5.48,5.5,5.35,6617,-2.3636
2016-03-29,2016-03-29,5.35,5.4,5.44,5.3,4980,-0.3724
2016-03-30,2016-03-30,5.36,5.33,5.39,5.33,2791,0.1869
2016-03-31,2016-03-31,5.37,5.37,5.39,5.32,3136,0.1866
2016-04-01,2016-04-01,5.35,5.31,5.35,5.3,3074,-0.3724
2016-04-06,2016-04-06,5.27,5.33,5.33,5.26,3322,-1.4953
2016-04-07,2016-04-07,5.24,5.27,5.3,5.24,3786,-0.5693
2016-04-08,2016-04-08,5.29,5.21,5.29,5.21,1923,0.9542
2016-04-11,2016-04-11,5.24,5.29,5.29,5.22,2318,-0.9452
2016-04-12,2016-04-12,5.17,5.23,5.25,5.17,4047,-1.3359
2016-04-13,2016-04-13,5.22,5.19,5.24,5.18,2467,0.9671
2016-04-14,2016-04-14,5.2,5.23,5.29,5.2,2521,-0.3831
2016-04-15,2016-04-15,5.18,5.19,5.23,5.18,3320,-0.3846
2016-04-18,2016-04-18,5.13,5.18,5.2,5.11,3397,-0.9653
2016-04-19,2016-04-19,5.14,5.15,5.2,5.12,4019,0.1949
2016-04-20,2016-04-20,5.09,5.14,5.17,5.09,3725,-0.9728
2016-04-21,2016-04-21,5.07,5.1,5.14,5.05,4752,-0.3929
2016-04-22,2016-04-22,5.07,5.06,5.08,5.03,4561,0.0
2016-04-25,2016-04-25,5.13,5.09,5.13,5.05,2235,1.1834
2016-04-26,2016-04-26,5.06,5.12,5.14,5.06,2569,-1.3645
2016-04-27,2016-04-27,5.06,5.07,5.13,5.05,3452,0.0
2016-04-28,2016-04-28,5.05,5.07,5.1,5.04,1222,-0.1976
2016-04-29,2016-04-29,5.04,5.04,5.07,5.0,2780,-0.198
2016-05-03,2016-05-03,4.97,5.02,5.04,4.96,4476,-1.3889
2016-05-04,2016-05-04,4.9,4.99,5.01,4.9,6039,-1.4085
2016-05-05,2016-05-05,4.83,4.9,4.91,4.79,7867,-1.4286
2016-05-06,2016-05-06,4.85,4.83,4.88,4.8,2433,0.4141
2016-05-09,2016-05-09,4.75,4.89,4.91,4.74,6973,-2.0619
2016-05-10,2016-05-10,4.75,4.76,4.85,4.74,3975,0.0
2016-05-11,2016-05-11,4.67,4.79,4.81,4.67,5029,-1.6842
2016-05-12,2016-05-12,4.61,4.65,4.71,4.61,4765,-1.2848
2016-05-13,2016-05-13,4.61,4.61,4.61,4.49,7029,0.0
2016-05-16,2016-05-16,4.63,4.55,4.63,4.54,2358,0.4338
2016-05-17,2016-05-17,4.66,4.59,4.7,4.59,3048,0.6479
2016-05-18,2016-05-18,4.59,4.63,4.65,4.57,6158,-1.5021
2016-05-19,2016-05-19,4.68,4.58,4.7,4.58,4320,1.9608
2016-05-20,2016-05-20,4.77,4.71,4.77,4.69,5282,1.9231
2016-05-23,2016-05-23,4.85,4.76,4.85,4.73,5095,1.6771
2016-05-24,2016-05-24,4.9,4.8,4.92,4.8,4490,1.0309
2016-05-25,2016-05-25,4.97,4.91,4.99,4.91,5403,1.4286
2016-05-26,2016-05-26,4.96,4.99,5.03,4.94,5361,-0.2012
2016-05-27,2016-05-27,5.07,4.96,5.09,4.94,6416,2.2177
2016-05-30,2016-05-30,5.09,5.07,5.1,5.03,3403,0.3945
2016-05-31,2016-05-31,5.08,5.08,5.09,5.02,3500,-0.1965
2016-06-01,2016-06-01,5.06,5.04,5.12,5.04,5698,-0.3937
2016-06-02,2016-06-02,5.05,5.06,5.1,5.04,5759,-0.1976
2016-06-03,2016-06-03,5.07,5.06,5.1,5.03,3464,0.396
2016-06-04,2016-06-04,5.07,5.08,5.08,5.04,1326,0.0
2016-06-06,2016-06-06,5.02,5.05,5.06,5.02,2659,-0.9862
2016-06-07,2016-06-07,5.02,5.02,5.07,5.0,3460,0.0
2016-06-08,2016-06-08,5.01,5.03,5.07,5.01,3152,-0.1992
2016-06-13,2016-06-13,4.84,4.98,5.0,4.8,5084,-3.3932
2016-06-14,2016-06-14,4.88,4.84,4.92,4.84,2134,0.8264
2016-06-15,2016-06-15,4.92,4.89,4.92,4.86,1511,0.8197
2016-06-16,2016-06-16,4.87,4.91,4.92,4.84,2032,-1.0163
2016-06-17,2016-06-17,4.91,4.9,4.91,4.85,2955,0.8214
