Date	Open	High	Low	Close	Volume
2013-01-02	 7738.05	 7793.48	 7715.26	7779.22	3416421
2013-01-03	 7826.34	 7855.16	 7815.29	7836.84	4480963
2013-01-04	 7818.27	 7818.27	 7773.06	7805.99	4172906
2013-01-07	 7797.05	 7797.05	 7725.47	7755.09	3868825
2013-01-08	 7737.07	 7751.80	 7692.98	7721.66	3738832
2013-01-09	 7726.40	 7763.97	 7703.23	7738.64	3891674
2013-01-10	 7780.98	 7825.06	 7760.09	7811.64	5021568
2013-01-11	 7843.57	 7845.36	 7801.69	7819.15	3732799
2013-01-14	 7795.68	 7823.97	 7731.32	7823.97	3409241
2013-01-15	 7823.51	 7823.51	 7744.39	7765.02	4055375
2013-01-16	 7766.09	 7769.18	 7700.43	7700.43	3659803
2013-01-17	 7748.57	 7774.97	 7603.27	7616.64	4774599
2013-01-18	 7697.28	 7732.87	 7676.11	7732.87	3431132
2013-01-21	 7725.36	 7739.37	 7674.18	7724.92	2622100
2013-01-22	 7746.79	 7759.47	 7699.25	7759.1	2764855
2013-01-23	 7773.20	 7773.20	 7730.10	7744.18	2817736
2013-01-24	 7717.04	 7724.68	 7653.62	7695.99	3202135
2013-01-25	 7695.25	 7704.31	 7637.20	7672.58	2819972
2013-01-28	 7685.67	 7717.35	 7685.67	7714.67	2693968
2013-01-29	 7744.15	 7802.00	 7739.60	7802.0	3309582
2013-01-30	 7832.95	 7847.21	 7804.71	7832.98	3676369
2013-01-31	 7832.87	 7850.02	 7800.90	7850.02	3408160
2013-02-01	 7853.75	 7866.23	 7832.00	7855.97	3109050
2013-02-04	 7882.76	 7929.97	 7880.29	7923.16	4052564
2013-02-05	 7896.67	 7896.67	 7863.91	7886.94	3414352
2013-02-06	 7925.26	 7941.65	 7906.65	7906.65	3820401
2013-02-18	 8000.69	 8005.73	 7927.95	7943.53	3677764
2013-02-19	 7974.40	 7974.40	 7946.09	7960.88	3457909
2013-02-20	 8021.31	 8029.10	 7995.16	8029.1	4367004
2013-02-21	 8020.52	 8020.52	 7957.46	7957.46	3567015
2013-02-22	 7947.88	 7970.24	 7913.16	7947.72	3563790
2013-02-23	 7979.15	 7997.94	 7965.89	7986.89	2965323
2013-02-25	 7986.87	 7995.11	 7947.68	7947.68	3330313
2013-02-26	 7891.41	 7927.49	 7871.23	7880.9	3093745
2013-02-27	 7886.03	 7912.85	 7873.29	7897.98	3081490
2013-03-01	 7917.72	 7964.63	 7917.72	7964.63	3337408
2013-03-04	 7966.22	 7966.22	 7849.52	7867.34	3543349
2013-03-05	 7910.44	 7939.85	 7882.56	7932.71	3593008
2013-03-06	 7958.11	 7982.39	 7936.86	7950.3	3923678
2013-03-07	 7950.90	 7984.29	 7942.37	7960.51	3629314
2013-03-08	 7981.00	 8029.14	 7981.00	8015.14	4161212
2013-03-11	 8021.88	 8089.21	 8001.85	8038.72	4284798
2013-03-12	 8039.00	 8063.23	 7986.59	7994.71	4200531
2013-03-13	 8018.90	 8047.56	 7962.42	7995.51	3736890
2013-03-14	 8002.42	 8002.71	 7946.29	7951.76	3529811
2013-03-15	 7989.67	 7999.92	 7924.94	7927.49	4000121
2013-03-18	 7886.69	 7888.16	 7807.61	7811.34	3407599
2013-03-19	 7843.47	 7863.77	 7823.81	7838.47	3096067
2013-03-20	 7834.73	 7844.54	 7786.56	7798.03	3313050
2013-03-21	 7828.95	 7843.16	 7811.84	7811.84	3029867
2013-03-22	 7811.52	 7832.59	 7796.22	7796.22	2900280
2013-03-25	 7862.58	 7877.05	 7854.47	7856.12	2975401
2013-03-26	 7873.70	 7876.68	 7845.56	7856.36	3034380
2013-03-27	 7872.75	 7894.26	 7857.32	7894.12	3123936
2013-03-28	 7905.71	 7905.71	 7844.84	7866.88	3067143
2013-03-29	 7904.50	 7931.70	 7883.81	7918.61	2709119
2013-04-01	 7934.25	 7937.73	 7896.57	7899.24	2691053
2013-04-02	 7897.16	 7924.46	 7879.55	7913.18	2836215
2013-04-03	 7949.12	 7954.15	 7913.77	7942.35	3097976
2013-04-08	 7831.22	 7843.10	 7747.47	7752.79	3929740
2013-04-09	 7766.62	 7781.13	 7714.93	7728.54	3170515
2013-04-10	 7772.95	 7772.95	 7739.99	7752.8	2879662
2013-04-11	 7788.58	 7857.98	 7788.58	7857.98	3321592
2013-04-12	 7861.12	 7864.86	 7810.54	7821.63	3088840
2013-04-15	 7815.32	 7835.12	 7753.24	7763.53	2974976
2013-04-16	 7690.91	 7801.05	 7688.62	7801.05	3072808
2013-04-17	 7822.81	 7822.81	 7791.53	7809.07	3378622
2013-04-18	 7781.48	 7826.13	 7757.33	7791.35	3336739
2013-04-19	 7868.90	 7933.72	 7862.92	7930.8	3763283
2013-04-22	 7976.10	 7996.55	 7950.01	7970.38	3449980
2013-04-23	 7955.92	 7968.79	 7913.60	7942.77	3488256
2013-04-24	 7977.40	 8025.45	 7968.28	8023.71	4230701
2013-04-25	 8015.38	 8026.46	 7994.19	8021.75	3471159
2013-04-26	 8034.47	 8081.37	 8020.47	8022.06	3865873
2013-04-29	 8043.71	 8046.22	 8014.27	8029.74	3361986
2013-04-30	 8065.92	 8115.59	 8065.92	8093.66	4083562
2013-05-02	 8111.43	 8139.49	 8095.70	8128.51	3886984
2013-05-03	 8157.51	 8175.33	 8121.07	8135.03	3898459
