Date,Date,Close,Open,High,Low,Volume,ROI
2015-01-05,2015-01-05,41.43,41.0,41.52,40.66,11406,0.5214
2015-01-06,2015-01-06,41.0,41.09,41.09,40.53,12276,-1.0373
2015-01-07,2015-01-07,40.57,41.0,41.13,40.57,7556,-1.0482
2015-01-08,2015-01-08,41.3,41.26,41.6,40.87,10221,1.8008
2015-01-09,2015-01-09,41.09,41.91,41.95,40.83,10873,-0.5203
2015-01-12,2015-01-12,40.92,41.26,41.26,40.44,8085,-0.4184
2015-01-13,2015-01-13,40.83,40.96,41.09,40.53,10289,-0.2101
2015-01-14,2015-01-14,41.26,41.26,41.26,40.83,12706,1.0526
2015-01-15,2015-01-15,41.26,41.26,41.52,40.75,6523,0.0
2015-01-16,2015-01-16,40.83,41.91,42.21,40.83,9776,-1.0417
2015-01-19,2015-01-19,41.22,41.69,41.69,40.92,8154,0.9474
2015-01-20,2015-01-20,41.39,41.43,41.48,40.96,6938,0.4171
2015-01-21,2015-01-21,42.29,41.73,42.98,41.69,19526,2.1807
2015-01-22,2015-01-22,43.41,42.98,44.36,42.68,25833,2.6423
2015-01-23,2015-01-23,44.7,43.84,44.7,43.84,17244,2.9703
2015-01-26,2015-01-26,44.7,44.1,44.87,43.58,19326,0.0
2015-01-27,2015-01-27,44.79,45.13,45.22,44.53,8713,0.1923
2015-01-28,2015-01-28,45.13,44.7,45.13,44.53,8243,0.7678
2015-01-29,2015-01-29,45.04,45.56,46.25,44.27,22970,-0.1905
2015-01-30,2015-01-30,45.73,45.64,46.25,45.56,28121,1.5267
2015-02-02,2015-02-02,45.9,46.42,46.42,45.56,17515,0.3759
2015-02-03,2015-02-03,46.33,46.42,46.42,45.9,17212,0.9363
2015-02-04,2015-02-04,47.28,46.68,47.28,46.68,16233,2.0408
2015-02-05,2015-02-05,47.36,47.45,47.62,47.02,15617,0.1818
2015-02-06,2015-02-06,46.76,47.36,47.45,46.33,14134,-1.2704
2015-02-09,2015-02-09,46.16,46.76,46.76,45.64,18866,-1.2868
2015-02-10,2015-02-10,45.47,46.25,46.25,44.61,20135,-1.4898
2015-02-11,2015-02-11,46.25,46.07,46.25,45.56,11776,1.7013
2015-02-12,2015-02-12,45.99,46.42,46.68,45.22,11888,-0.5576
2015-02-13,2015-02-13,47.45,46.42,47.45,46.16,12016,3.1776
2015-02-24,2015-02-24,46.68,47.79,47.79,46.5,17723,-1.6304
2015-02-25,2015-02-25,48.31,47.36,49.77,47.19,24402,3.4991
2015-02-26,2015-02-26,48.05,48.65,48.74,47.11,18823,-0.5338
2015-03-02,2015-03-02,48.14,48.22,48.91,47.97,10070,0.1789
2015-03-03,2015-03-03,48.05,48.31,48.48,47.62,7916,-0.1786
2015-03-04,2015-03-04,47.79,48.14,48.14,47.71,8073,-0.5367
2015-03-05,2015-03-05,47.97,48.83,48.91,47.54,6561,0.3597
2015-03-06,2015-03-06,47.71,48.65,48.65,47.71,7770,-0.5376
2015-03-09,2015-03-09,47.71,47.45,48.57,46.85,7406,0.0
2015-03-10,2015-03-10,47.88,48.22,48.91,47.28,14992,0.3604
2015-03-11,2015-03-11,47.28,47.62,48.14,46.68,13587,-1.2567
2015-03-12,2015-03-12,47.28,46.93,47.45,46.59,7774,0.0
2015-03-13,2015-03-13,48.05,47.71,48.05,47.45,8774,1.6364
2015-03-16,2015-03-16,47.02,47.88,48.05,47.02,9243,-2.1467
2015-03-17,2015-03-17,46.42,47.79,47.97,45.82,12972,-1.2797
2015-03-18,2015-03-18,46.93,46.59,46.93,45.73,8586,1.1111
2015-03-19,2015-03-19,48.22,47.54,48.48,47.36,14699,2.7473
2015-03-20,2015-03-20,47.79,48.48,48.48,47.54,13667,-0.8913
2015-03-23,2015-03-23,47.36,47.79,48.14,47.02,13400,-0.8993
2015-03-24,2015-03-24,45.82,47.45,47.54,45.47,24214,-3.2668
2015-03-25,2015-03-25,46.16,45.99,46.68,45.64,13551,0.7505
2015-03-26,2015-03-26,44.96,44.96,45.47,44.87,17030,-2.6071
