Date	Close	Open	High	Low	Volume	ROI
2016-11-15	32.1	32.05	32.2	32.0	77	0.0
2016-11-16	32.2	32.5	32.5	32.05	56	0.3115
2016-11-17	32.25	32.2	32.4	32.2	58	0.1553
2016-11-18	32.35	32.25	32.4	32.25	63	0.3101
2016-11-21	32.1	32.4	32.4	32.1	83	-0.7728
2016-11-22	32.3	32.1	32.4	32.05	69	0.6231
2016-11-23	32.3	32.1	32.3	32.1	83	0.0
2016-11-24	32.3	32.3	32.4	32.2	27	0.0
2016-11-25	32.3	32.3	32.4	32.25	51	0.0
2016-11-28	32.4	32.3	32.4	32.2	110	0.3096
2016-11-29	32.3	32.5	32.5	32.25	36	-0.3086
2016-11-30	32.4	32.3	32.4	32.25	45	0.3096
2016-12-01	32.3	32.4	32.4	32.2	81	-0.3086
2016-12-02	32.35	32.3	32.35	32.1	115	0.1548
2016-12-05	32.2	32.35	32.35	32.2	132	-0.4637
2016-12-06	32.35	32.25	32.35	32.2	74	0.4658
2016-12-07	32.4	32.35	32.5	32.35	100	0.1546
2016-12-08	32.5	32.3	32.5	32.3	72	0.3086
2016-12-09	32.55	32.6	32.6	32.45	94	0.1538
2016-12-12	32.6	32.6	32.6	32.45	148	0.1536
2016-12-13	32.55	32.6	32.6	32.5	132	-0.1534
2016-12-14	32.55	32.55	32.55	32.45	83	0.0
2016-12-15	32.45	32.45	32.45	32.3	83	-0.3072
2016-12-16	32.45	32.45	32.45	32.35	79	0.0
2016-12-19	32.45	32.35	32.6	32.35	107	0.0
2016-12-20	32.65	32.35	32.7	32.35	83	0.6163
2016-12-21	32.65	32.4	32.8	32.4	55	0.0
2016-12-22	32.5	32.5	32.75	32.5	5	-0.4594
2016-12-23	32.45	32.35	32.5	32.35	14	-0.1538
2016-12-26	32.45	32.45	32.6	32.35	20	0.0
2016-12-27	32.45	32.35	32.6	32.35	14	0.0
2016-12-28	32.5	32.35	32.5	32.35	21	0.1541
2016-12-29	32.35	32.35	32.5	32.35	27	-0.4615
2016-12-30	32.3	32.35	32.4	32.2	96	-0.1546
