Date,Date,Close,Open,High,Low,Volume,ROI
2014-01-02,2014-01-02,8.28,8.32,8.32,8.25,3178,-0.4449
2014-01-03,2014-01-03,8.24,8.25,8.28,8.24,22643,-0.5587
2014-01-06,2014-01-06,8.04,8.24,8.25,8.0,9535,-2.3596
2014-01-07,2014-01-07,8.05,8.05,8.1,8.03,3533,0.1151
2014-01-08,2014-01-08,8.1,8.1,8.1,8.02,4604,0.5747
2014-01-09,2014-01-09,8.06,8.07,8.12,8.0,6423,-0.4571
2014-01-10,2014-01-10,8.07,8.06,8.12,8.03,1965,0.1148
2014-01-13,2014-01-13,8.14,8.14,8.16,8.11,3805,0.9174
2014-01-14,2014-01-14,8.08,8.14,8.14,8.08,1983,-0.7955
2014-01-15,2014-01-15,8.11,8.08,8.12,8.06,2817,0.3436
2014-01-16,2014-01-16,8.07,8.13,8.14,8.07,1666,-0.4566
2014-01-17,2014-01-17,8.06,8.13,8.13,8.06,2174,-0.1147
2014-01-20,2014-01-20,8.05,8.1,8.1,8.04,1641,-0.1148
2014-01-21,2014-01-21,8.05,8.05,8.09,8.01,2090,0.0
2014-01-22,2014-01-22,8.03,8.05,8.07,8.0,2039,-0.2299
2014-01-23,2014-01-23,8.01,8.03,8.04,8.0,1903,-0.2304
2014-01-24,2014-01-24,8.0,7.96,8.01,7.96,2385,-0.1155
2014-01-27,2014-01-27,7.92,7.91,7.96,7.89,3563,-1.0405
2014-02-05,2014-02-05,7.82,7.77,7.87,7.77,3652,-1.285
2014-02-06,2014-02-06,7.81,7.84,7.87,7.79,2489,-0.1183
2014-02-07,2014-02-07,7.87,7.86,7.9,7.84,2307,0.8294
2014-02-10,2014-02-10,7.97,7.9,8.04,7.88,3654,1.1751
2014-02-11,2014-02-11,7.98,8.0,8.01,7.94,1967,0.1161
2014-02-12,2014-02-12,7.94,8.0,8.02,7.91,2652,-0.46399999999999997
2014-02-13,2014-02-13,7.9,7.93,7.95,7.87,3989,-0.4662
2014-02-14,2014-02-14,7.87,7.9,7.95,7.87,2132,-0.3513
2014-02-17,2014-02-17,7.86,7.88,7.94,7.85,1862,-0.235
2014-02-18,2014-02-18,7.88,7.89,7.91,7.87,1427,0.3534
2014-02-19,2014-02-19,7.86,7.91,7.92,7.86,1303,-0.3521
2014-02-20,2014-02-20,7.84,7.87,7.87,7.83,1480,-0.2356
2014-02-21,2014-02-21,7.85,7.96,7.96,7.84,1988,0.1181
2014-02-24,2014-02-24,8.02,7.87,8.03,7.87,7672,2.2406
2014-02-25,2014-02-25,8.03,8.06,8.09,8.02,12823,0.1153
2014-02-26,2014-02-26,7.97,7.96,8.01,7.94,4331,-0.8065
2014-02-27,2014-02-27,7.93,7.97,7.99,7.92,3383,-0.4646
2014-03-03,2014-03-03,7.88,7.92,7.92,7.87,3985,-0.5834
2014-03-04,2014-03-04,7.84,7.88,7.88,7.82,2691,-0.5869
2014-03-05,2014-03-05,7.82,7.91,7.92,7.81,3669,-0.2361
2014-03-06,2014-03-06,7.82,7.82,7.86,7.77,2815,0.0
2014-03-07,2014-03-07,7.75,7.82,7.85,7.73,3655,-0.9467
2014-03-10,2014-03-10,7.75,7.75,7.8,7.75,1419,0.1195
2014-03-11,2014-03-11,7.7,7.75,7.82,7.7,2033,-0.716
2014-03-12,2014-03-12,7.66,7.7,7.74,7.65,2000,-0.4808
2014-03-13,2014-03-13,7.58,7.65,7.66,7.57,4746,-1.087
2014-03-14,2014-03-14,7.58,7.57,7.64,7.52,2541,0.0
2014-03-17,2014-03-17,7.63,7.59,7.63,7.59,1753,0.7326
2014-03-18,2014-03-18,7.6,7.63,7.68,7.6,1501,-0.4848
2014-03-19,2014-03-19,7.55,7.62,7.63,7.55,3897,-0.609
2014-03-20,2014-03-20,7.54,7.55,7.56,7.49,3258,-0.1225
2014-03-21,2014-03-21,7.5,7.51,7.56,7.49,3561,-0.6135
2014-03-24,2014-03-24,7.46,7.45,7.5,7.4,1932,-0.4938
2014-03-25,2014-03-25,7.48,7.42,7.54,7.42,1666,0.2481
2014-03-26,2014-03-26,7.55,7.49,7.56,7.49,2315,0.9901
2014-03-27,2014-03-27,7.52,7.54,7.57,7.51,1582,-0.3676
2014-03-28,2014-03-28,7.54,7.53,7.61,7.52,3340,0.24600000000000002
2014-03-31,2014-03-31,7.9,7.6,7.9,7.57,13546,4.7853
2014-04-01,2014-04-01,7.91,7.9,7.92,7.82,5628,0.1171
2014-04-02,2014-04-02,7.9,7.91,7.92,7.84,3409,-0.11699999999999999
2014-04-03,2014-04-03,7.9,7.89,7.9,7.82,2342,0.0
2014-04-07,2014-04-07,7.86,7.79,7.86,7.79,1408,-0.5855
2014-04-08,2014-04-08,7.82,7.87,7.87,7.79,1350,-0.4711
2014-04-09,2014-04-09,7.81,7.92,7.92,7.81,1688,-0.1183
2014-04-10,2014-04-10,7.76,7.85,7.85,7.76,1794,-0.5924
2014-04-11,2014-04-11,7.75,7.75,7.76,7.71,1332,-0.2384
2014-04-14,2014-04-14,7.64,7.75,7.75,7.64,1299,-1.3142
2014-04-15,2014-04-15,7.66,7.65,7.72,7.65,1075,0.2421
2014-04-16,2014-04-16,7.75,7.66,7.76,7.66,1527,1.087
2014-04-17,2014-04-17,7.74,7.75,7.76,7.71,923,-0.1195
2014-04-18,2014-04-18,7.7,7.73,7.75,7.69,1194,-0.4785
2014-04-21,2014-04-21,7.68,7.68,7.72,7.66,1500,-0.2404
2014-04-22,2014-04-22,7.65,7.68,7.72,7.65,1119,-0.3614
2014-04-23,2014-04-23,7.6,7.65,7.69,7.59,2243,-0.7255
2014-04-24,2014-04-24,7.58,7.6,7.64,7.55,1687,-0.2436
2014-04-25,2014-04-25,7.32,7.55,7.59,7.26,6201,-3.4188
2014-04-28,2014-04-28,7.32,7.23,7.37,7.23,2064,0.0
2014-04-29,2014-04-29,7.4,7.31,7.48,7.31,2301,1.1378
2014-04-30,2014-04-30,7.33,7.4,7.44,7.32,1217,-1.0
2014-05-02,2014-05-02,7.37,7.33,7.4,7.33,983,0.5051
2014-05-05,2014-05-05,7.34,7.37,7.38,7.3,1678,-0.3769
2014-05-06,2014-05-06,7.36,7.31,7.38,7.31,1380,0.2522
2014-05-07,2014-05-07,7.31,7.36,7.36,7.29,2469,-0.6289
2014-05-08,2014-05-08,7.34,7.36,7.38,7.31,3921,0.3797
2014-05-09,2014-05-09,7.3,7.36,7.37,7.29,2397,-0.5044
2014-05-12,2014-05-12,7.17,7.3,7.3,7.14,3637,-1.7744
2014-05-13,2014-05-13,7.09,7.25,7.25,7.05,4106,-1.1613
2014-05-14,2014-05-14,7.09,7.09,7.13,7.02,2701,0.0
2014-05-15,2014-05-15,7.12,7.07,7.15,7.07,1216,0.3916
2014-05-16,2014-05-16,7.12,7.13,7.13,7.08,1128,0.0
2014-05-19,2014-05-19,7.21,7.12,7.25,7.12,2776,1.3004
2014-05-20,2014-05-20,7.18,7.25,7.25,7.18,893,-0.3851
2014-05-21,2014-05-21,7.21,7.18,7.24,7.18,1296,0.3866
